City,State,Mean Fuel EUI,Mean Electric EUI,CDD,HDD
Birmingham,AL,,21.11627078,1933,2770
Mobile,AL,,30.16951526,2537,1656
Anchorage,AK,,13.43406305,3,10201
Phoenix,AZ,5.881797799,26.89560314,3741,1359
Mesa,AZ,,30.461339,3592,1462
Tucson,AZ,9.298244869,24.75373266,1946,2486
Yuma,AZ,3.322211961,40.36822795,3811,1129
Little Rock,AR,25.01876868,36.93714923,2170,3006
Fayetteville,AR,11.47826636,23.263998,1517,4013
Conway,AR,0.037681448,38.12394422,1843,3472
Los Angeles,CA,14.48905687,12.48254282,1638,880
San Francisco,CA,31.04203269,11.27336289,174,2701
San Diego,CA,18.47479918,13.6413631,1241,1909
San Jose,CA,20.91483757,12.88270517,395,2735
Denver,CO,15.9190056,25.95275813,15,8879
Colorado Springs,CO,43.55023161,19.05599405,6,9474
Fort Collins,CO,11.74983176,24.7022894,250,7381
New Haven,CT,22.93872929,14.72277832,745,5650
Hartford,CT,23.31924069,13.40921531,603,6318
Dover,DE,26.94277245,19.47004967,1314,4269
Miami,FL,0.079869303,33.90841682,4351,124
Tampa,FL,1.808540153,33.95464996,3228,630
Fort Lauderdale,FL,0.373981933,30.961641,3954,194
Jacksonville,FL,1.384215571,29.62721652,2803,1215
Orlando,FL,4.861219334,29.20917801,3424,571
Atlanta,GA,26.36501784,24.45748784,1336,3644
Columbus,GA,18.62335117,15.6209498,2141,2354
Columbus,GA,,,2141,2354
Columbus,OH,18.62335117,15.6209498,980,5473
Columbus,OH,,,980,5473
Savannah,GA,14.14670146,33.23976163,2458,1811
Augusta,GA,23.17741518,22.21330716,2088,2470
Augusta,GA,,,2088,2470
Augusta,ME,23.17741518,22.21330716,345,7687
Augusta,ME,,,345,7687
Honolulu,HI,2.516490712,17.57463318,3954,1
Chicago,IL,84.34510543,17.82964356,649,6929
Aurora,IL,30.95744306,11.92793381,890,6291
Elgin,IL,40.45440328,12.86329557,649,6929
Indianapolis,IN,25.56854202,30.90825824,909,5704
Fort Wayne,IN,23.73205601,16.83665192,809,6102
Des Moines,IA,27.71121015,18.06917749,947,6587
Waterloo,IA,25.70623061,13.77239588,799,7028
Wichita,KS,270.7146361,19.74366161,1573,4650
Lawrence,KS,37.33109893,31.57522486,1293,5259
Louisville,KY,24.12967515,24.11842882,1169,4701
New Orleans,LA,21.97718323,30.88778532,2655,1437
Portland,ME,12.31275598,14.51981231,360,7106
Portland,ME,,,360,7106
Portland,OR,12.31275598,14.51981231,330,4447
Portland,OR,,,330,4447
Baltimore,MD,24.66270954,18.626991,1681,3845
Hagerstown,MD,4.600349488,18.53547671,789,5326
Boston,MA,54.63944129,20.50315563,561,6392
Springfield,MA,34.17066144,25.50718235,427,6719
Springfield,MA,,,427,6719
Springfield,MO,34.17066144,25.50718235,1389,4578
Springfield,MO,,,1389,4578
Worcester,MA,43.98260415,13.26196914,479,6873
Detroit,MI,62.23196097,13.54994581,731,6335
Grand Rapids,MI,0.549135831,11.37152692,698,6485
Flint,MI,176.1929082,11.67569846,493,6958
Lansing,MI,10.30235509,14.35582928,666,6589
Minneapolis,MN,40.8329295,11.87822283,605,7912
Rochester,MN,36.80896465,12.02642492,467,8222
Rochester,MN,,,467,8222
Rochester,NY,36.80896465,12.02642492,539,6646
Rochester,NY,,,539,6646
Kansas City,MO,48.58494029,23.07008253,1201,5309
Columbia,MO,28.21812053,26.65150297,1461,4745
Columbia,MO,,,1461,4745
Columbia,SC,28.21812053,26.65150297,1598,3371
Columbia,SC,,,1598,3371
Great Falls,MT,17.40661611,20.19045407,366,6980
Omaha,NE,16.96761405,19.42207087,887,6693
Lincoln,NE,21.08453356,24.29073234,974,6378
Las Vegas,NV,22.13074462,24.71072749,3941,1691
Manchester,NH,24.46334685,29.8113199,441,6928
Albuquerque,NM,48.36001033,16.66529026,1035,4428
Farmington,NM,128.5730128,19.52138616,741,5405
New York,NY,50.98703634,26.62808035,796,5701
Buffalo,NY,39.39663336,12.4277784,504,6819
Syracuse,NY,47.10863271,13.62828593,385,7129
Greensboro,NC,40.59022252,34.51460582,1643,3258
Cleveland,OH,77.42776739,28.62377133,949,5438
Cincinnati,OH,37.83361266,20.93897649,1044,5214
Dayton,OH,103.2501685,24.37718783,1264,5247
Tulsa,OK,25.7514814,33.61897901,1823,3774
Oklahoma City,OK,41.61328793,25.67272012,1848,3592
Salem,OR,11.06824319,35.68080916,276,4685
Philadelphia,PA,43.52262493,20.56928182,1071,4935
Pittsburgh,PA,49.01345055,21.44881642,857,5564
Allentown,PA,24.91860596,31.28323504,1265,4682
Harrisburg,PA,32.70852819,30.75821759,805,5421
Lancaster,PA,25.90989654,29.51231438,934,5321
Providence,RI,7.838447755,5.993155458,616,6115
Newport,RI,7.379537372,24.78849283,600,5732
Charleston,SC,11.54054058,38.33720566,2340,2018
Charleston,SC,,,2340,2018
Charleston,WV,11.54054058,38.33720566,924,4955
Charleston,WV,,,924,4955
Greenville,SC,13.40264546,26.40464336,1490,3411
Memphis,TN,15.52093618,34.3594875,2021,3317
Nashville,TN,6.1704014,37.95045553,1332,4107
Knoxville,TN,8.518319215,27.82800049,1339,3955
Chattanooga,TN,8.763062796,28.77329988,1433,3560
Houston,TX,27.24504333,28.98260788,2586,1469
Dallas,TX,19.41592441,36.71438291,2463,2429
San Antonio,TX,12.58420752,27.31079215,2364,2049
Austin,TX,,,2710,1918
Salt Lake City,UT,48.47566752,17.20083281,21,9639
Ogden,UT,35.89657938,15.69542122,1174,5670
Virginia Beach,VA,29.37696752,27.77755694,1647,3215
Richmond,VA,16.62587645,19.24721358,1292,4096
Hampton,VA,10.24931608,28.68637371,1836,2958
Seattle,WA,25.04539407,25.53546721,165,4919
Milwaukee,WI,48.32790806,14.6061038,568,7304
Madison,WI,42.30440177,13.68495716,597,7283
Green Bay,WI,23.62951466,10.53492392,358,7885
